18457_00019,VPM,
17545_00075,VPM,
18454_00165,VPM,
18868_3112_x27714_y10534,MOp,L5
18462_00042,VPL,
18457_00205,VPL,
17302_00003,CP,
191807_2469_x5431_y10056,AId,
18455_00138,VPM,
18464_00048,VPM,
18457_00017,VPM,
17781_00003,MOp,L6
18867_5082_x26232_y14941,RT,
18453_1643_x24077_y11694,MOs,L2/3
182725_2376_x10033_y10786,MOp,L5
18453_6500_x34303_y12884,TEa,L2/3
17109_2601_x9498_y8169,AId,L6
18869_7472_x16444_y11009,PRNr,
18869_5019_x5442_y5910,SSs,L5
18464_00086,CP,
18465_00117,LGd,
18462_00041,VPM,
18458_00549,VPL,
18454_01109,VPM,
182725_2390_x8944_y12077,MOs,L5
pre_18465_00268,CA1,
pre_18864_00073,SSp-bfd,
18457_00076,CP,
18454_01044,VPM,
17545_00073,CP,
18868_4464_x5477_y11004,SSs,L5
18457_00133,ACB,
18868_5531_x7356_y7030,SSp-bfd,L5
18453_6561_x9442_y3817,VISrl,L2/3
18458_00114,VPM,
18047_7769_x31046_y13195,ENTl,L5
18457_00152,VPM,
18869_3482_x7077_y5660,SSp-m,L5
18465_00234,VPM,
18455_00255,VPM,
17781_6202_x7633_y12296,SSp-bfd,L6
pre_18864_00036,MOp,
17545_00063,CP,
18464_00124,VPL,
18455_00240,CP,
18457_00097,VPL,
pre_18864_00048,VISam,
17302_00103,CP,
18457_00114,CP,
17545_00054,VPM,
182725_4160_x5717_y19181,MOp,L5
17302_00049,LGd,
236174_3829_x14826_y27255,GU,L6
18458_00083,LP,
182724_5410_x4393_y11075,SSp-ll,
18868_4192_x10967_y7007,SSp-ul,L5
18454_01074,VPM,
17787_00029,CP,
18463_00037,VPM,
18464_00169,CP,
18454_00018,CP,
18454_01032,VPM,
191807_5811_x3931_y20674,SSp-bfd,L6
18457_00089,VPM,
18458_00419,VPL,
18462_00016,VPM,
18454_01051,VPM,
18458_00185,PO,
18454_00130,MD,
18458_00376,AM,
17545_00154,VPL,
18455_00180,CP,
18454_00142,VPLpc,
18455_00258,VPM,
17300_5969_x27278_y20820,VISp,L5
18463_00040,VPM,
18864_6074_x3503_y13192,RSPd,L2/3
17109_6801_x7432_y4405,TEa,L6
18454_01105,VPM,
17781_6802_x8324_y14113,CA1,
18457_00082,CP,
18454_00162,VPM,
pre_18464_00103,CA1,
182725_3680_x13452_y7614,GU,L5
18458_00496,VPL,
18454_01126,VPM,
18461_4178_x16825_y2713,MOp,L2/3
18867_7583_x22567_y18119,PRNr,
17545_00145,CP,
17302_00065,LD,
236174_3829_x16301_y26647,CLA,
17545_00158,CP,
17781_4095_x17570_y12460,CLA,
18465_00047,LD,
18454_00169,VPL,
18457_00194,VPM,
17302_00098,CP,
18465_00058,VPM,
18867_3973_x31634_y12362,SSs,L5
18455_00032,CP,
18458_00069,LGd,
18867_4889_x28329_y6770,SSp-un,L5
18455_00124,PO,
18457_00112,VM,
pre_18864_00174,MOp,
18458_00468,VM,
17545_00111,CP,
18454_01022,LD,
18457_00159,VPM,
18869_4196_x21043_y5510,SSp-m,L5
17781_6028_x9772_y42888,SSs,L6
17302_00078,VPL,
18465_00050,CP,
18454_01079,VPM,
17543_3842_x7369_y3542,SSp-bfd,L2/3
18458_00612,LP,
17788_5767_x16636_y3662,RSPv,L2/3
18454_00004,CP,
18458_00273,VPM,
18869_4410_x8772_y3996,SSp-ul,L5
18462_00018,VPM,
18465_00091,VPM,
18864_5242_x9483_y31549,AUDd,L4
18457_00024,VPM,
17302_00075,CP,
18465_00155,CP,
18465_00015,CP,
pre_18455_00241,NDB,
18869_5802_x13547_y4406,RSPv,L5
17302_00079,MG,
18454_01081,VPM,
18465_00001,CP,
18868_2593_x15801_y13755,ORBvl,L5
18465_00285,BLA,
17545_00164,MG,
17302_00080,LGd,
17788_5059_x3960_y6601,SSp-n,
17545_00124,CP,
17545_00065,CP,
18455_00002,CP,
17781_2184_x15071_y19950,ORBl,L6
pre_18464_00086,CP,
17545_00050,CP,
17109_6401_x7989_y3767,AUDv,L6
18463_00031,VPM,
18458_00500,ACB,
18454_00128,LD,
18458_00268,VPM,
18452_3926_x14445_y21337,OT,
18867_6986_x31479_y5932,VISl,L5
18455_00205,VPL,
17300_5896_x24862_y27320,RSPv,L5
17302_00108,CP,
18869_00024,CP,
18454_00127,VPM,
17545_00003,VAL,
18868_5983_x17523_y5085,RSPv,L5
18465_00146,MG,
18457_00035,CP,
18454_01030,VPM,
18455_00043,LGd,
18457_00197,VPL,
17545_00130,CP,
18869_5237_x7485_y4162,SSp-bfd,L5
15257_2309_x13266_y25533,MOs,
18458_00101,LGd,
17302_00016,CP,
18458_00242,LGd,
182724_2526_x7529_y21792,MOs,
17302_00094,CP,
18457_00241,SGN,
18454_01027,VPM,
191812_3163_x6264_y21524,MOp,
17302_00045,CP,
18867_6452_x16339_y18318,BS,
18869_5123_x17555_y3609,RSPagl,L5
18869_5150_x8933_y7652,RT,
18867_4926_x25796_y14504,RT,
18465_00199,ACB,
pre_18864_00067,SSp-ul,
182724_2333_x7081_y21185,MOs,
pre_18864_00457,RSPagl,
18465_00044,CP,
18454_00105,VPM,
18464_00052,VPM,
18453_5318_x33682_y14092,VISC,L5
18869_7986_x18907_y11037,PSV,
17302_00048,LGd,
18458_00353,CP,
18457_00141,CP,
17302_00117,LGd,
18869_4722_x18329_y4110,SSp-ll,L5
18462_00031,VPM,
17545_00056,VPM,
236174_3229_x11951_y11316,CLA,
18864_3248_x2473_y15212,MOs,L2/3
18868_4041_x10632_y7193,SSp-ul,L5
18465_00029,CP,
18453_3579_x30397_y10103,SSp-m,L4
17302_00011,CP,
18457_00056,VPM,
18869_3701_x5589_y7633,SSp-m,L5
18868_5369_x19532_y5532,RSPv,L5
18047_00047,ORBm,L5
18453_5436_x32746_y12751,SSs,L6
18458_00306,VPM,
18455_00163,MD,
17545_00044,CP,
18454_01127,LGd,
17543_3705_x9619_y20864,SSp-m,L4
pre_18454_00376,CP,
18463_00057,LGd,
18462_00026,MG,
18452_5511_x26566_y3403,SSp-tr,L2/3
18454_01075,PO,
17545_00008,CP,
18864_2047_x3016_y12128,MOs,L2/3
18864_00029,SSs,
18458_00614,LP,
18454_00097,CM,
17545_00057,VPM,
18465_00003,CP,
18869_4550_x17965_y4177,SSp-ll,L5
18465_00300,MG,
18864_6139_x4843_y27122,VISp,L4
182724_2926_x5279_y13761,MOs,
18869_5108_x7688_y4065,SSp-bfd,L5
191812_5154_x9610_y25921,VISC,L5
18453_2713_x27713_y9899,MOp,L2/3
18867_6003_x18592_y6204,RSPv,L5
18868_2601_x23273_y17306,PIR,
17781_4874_x11466_y11924,SSp-bfd,L6
18454_01094,VPM,
17300_3514_x19676_y45282,SSs,L5
17545_00028,CP,
17545_00163,MG,
pre_18864_00026,MOp,
18864_5305_x7877_y31450,SSs,L2/3
18455_00154,VPM,
18457_00125,VPL,
18867_5083_x14145_y15212,RT,
18465_00045,CP,
18454_01053,VPM,
191812_2734_x6259_y10487,MOs,
17109_7001_x5738_y6470,VISl,L6
